日期,时点,甘肃_实时市场出清总电量（MWh）
2026-01-08,18:30,9864.08
2026-01-08,18:45,9906.09
2026-01-08,19:00,9976.20
2026-01-08,19:15,10043.20
2026-01-08,19:30,10023.10
2026-01-08,19:45,9688.60
2026-01-08,20:00,9714.17
2026-01-08,20:15,9547.95
2026-01-08,20:30,9343.58
2026-01-08,20:45,9323.52
2026-01-08,21:00,9241.15
2026-01-08,21:15,9118.47
2026-01-08,21:30,9301.64
2026-01-08,21:45,9260.05
2026-01-08,22:00,9256.09
2026-01-08,22:15,9319.06
2026-01-08,22:30,9381.11
2026-01-08,22:45,9485.93
2026-01-08,23:00,9295.37
2026-01-08,23:15,9171.41
2026-01-08,23:30,9178.47
2026-01-08,23:45,9127.48
2026-01-08,24:00,9093.22
2026-01-09,00:15,8792.04
2026-01-09,00:30,8926.40
2026-01-09,00:45,8905.92
2026-01-09,01:00,8893.12
2026-01-09,01:15,8886.48
2026-01-09,01:30,8874.66
2026-01-09,01:45,8856.22
2026-01-09,02:00,8845.39
2026-01-09,02:15,8837.71
2026-01-09,02:30,8968.73
2026-01-09,02:45,8935.26
2026-01-09,03:00,8767.30
2026-01-09,03:15,8881.08
2026-01-09,03:30,8827.96
2026-01-09,03:45,8680.38
2026-01-09,04:00,8697.92
2026-01-09,04:15,8681.83
2026-01-09,04:30,8706
2026-01-09,04:45,8667.71
2026-01-09,05:00,8688.78
2026-01-09,05:15,8694.68
2026-01-09,05:30,8811.74
2026-01-09,05:45,8939.83
2026-01-09,06:00,8862.99
2026-01-09,06:15,8868.57
2026-01-09,06:30,9097.67
2026-01-09,06:45,9127.39
2026-01-09,07:00,9112.57
2026-01-09,07:15,8670.59
2026-01-09,07:30,8536.68
2026-01-09,07:45,8423.88
2026-01-09,08:00,8516.67
2026-01-09,08:15,8640.69
2026-01-09,08:30,8636.37
2026-01-09,08:45,8621.25
2026-01-09,09:00,8827.12
2026-01-09,09:15,8927.19
2026-01-09,09:30,9043.63
2026-01-09,09:45,9183.17
2026-01-09,10:00,9423.50
2026-01-09,10:15,9332.25
2026-01-09,10:30,9409.48
2026-01-09,10:45,9179.71
2026-01-09,11:00,8945.98
2026-01-09,11:15,8928.76
2026-01-09,11:30,8844.36
2026-01-09,11:45,8871.05
2026-01-09,12:00,8873.86
2026-01-09,12:15,8742.83
2026-01-09,12:30,8675.71
2026-01-09,12:45,8696.12
2026-01-09,13:00,8618.31
2026-01-09,13:15,8552.70
2026-01-09,13:30,8542.76
2026-01-09,13:45,8514.27
2026-01-09,14:00,8507.45
2026-01-09,14:15,8400.83
2026-01-09,14:30,8383.83
2026-01-09,14:45,8375.85
2026-01-09,15:00,8437
2026-01-09,15:15,8477.42
2026-01-09,15:30,8549.92
2026-01-09,15:45,8519.96
2026-01-09,16:00,9141.82
2026-01-09,16:15,9393.50
2026-01-09,16:30,9517.49
2026-01-09,16:45,9528.05
2026-01-09,17:00,9886.09
2026-01-09,17:15,9870.51
2026-01-09,17:30,9914.29
2026-01-09,17:45,9934.32
2026-01-09,18:00,9814.26
2026-01-09,18:15,9299.85
2026-01-09,18:30,9374.93
2026-01-09,18:45,9422.29
2026-01-09,19:00,9395.73
2026-01-09,19:15,9059.43
2026-01-09,19:30,9043.07
2026-01-09,19:45,9052.53
2026-01-09,20:00,8994.29
2026-01-09,20:15,8994.92
2026-01-09,20:30,8976.16
2026-01-09,20:45,8936.21
2026-01-09,21:00,8822.62
2026-01-09,21:15,8778.91
2026-01-09,21:30,8756.50
2026-01-09,21:45,8708.15
2026-01-09,22:00,8679.14
2026-01-09,22:15,9047.54
2026-01-09,22:30,8938.58
2026-01-09,22:45,8780.84
2026-01-09,23:00,8648.45
2026-01-09,23:15,8570.47
2026-01-09,23:30,8496.44
2026-01-09,23:45,8474.32
2026-01-09,24:00,8391.93
2026-01-10,00:15,8441.40
